City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Sakakah,SA,2022-10-01 17:53:58,29.9697,40.2064,304.91,16,0,2.53,clear sky
199,Olafsvik,IS,2022-10-01 17:53:59,64.8945,-23.7142,281.72,90,100,5.06,overcast clouds
200,Grindavik,IS,2022-10-01 17:53:59,63.8424,-22.4338,282.12,100,75,11.32,light intensity drizzle
201,Pontal Do Parana,BR,2022-10-01 17:54:00,-25.6533,-48.5128,296.47,75,50,2.61,scattered clouds
202,Bolkhov,RU,2022-10-01 17:54:00,53.4433,36.0044,287.7,89,100,5.5,overcast clouds
203,Sinnar,SD,2022-10-01 17:54:01,13.5691,33.5672,303.34,46,84,2.65,broken clouds
204,Thompson,CA,2022-10-01 17:54:01,55.7435,-97.8558,281.24,53,0,3.6,clear sky
205,Chillicothe,US,2022-10-01 17:53:24,39.3331,-82.9824,291.84,66,40,5.66,scattered clouds
206,Rafaela,AR,2022-10-01 17:54:02,-31.2503,-61.4867,300.93,20,0,2.24,clear sky
207,Castro,BR,2022-10-01 17:54:03,-24.7911,-50.0119,293.81,68,76,2.85,broken clouds
208,Bandundu,CD,2022-10-01 17:54:03,-3.3167,17.3667,299.31,71,71,1.56,light rain
209,Kitob,UZ,2022-10-01 17:54:04,39.0843,66.8332,290.94,25,0,1.88,clear sky
210,Mizan Teferi,ET,2022-10-01 17:54:04,6.9833,35.5833,288.46,95,66,1.35,broken clouds
211,Ancud,CL,2022-10-01 17:54:05,-41.8697,-73.8203,286.28,54,29,1.32,scattered clouds
212,Abha,SA,2022-10-01 17:54:05,18.2164,42.5053,292.05,52,0,3.09,clear sky
213,Santona,ES,2022-10-01 17:54:06,43.4439,-3.4576,293.67,82,12,0.96,few clouds
214,Adrar,MR,2022-10-01 17:54:06,20.5022,-10.0711,304.95,20,0,3.28,clear sky
215,Richmond,US,2022-10-01 17:50:20,37.5538,-77.4603,295.14,83,75,5.66,broken clouds
216,Vestmanna,FO,2022-10-01 17:54:07,62.1564,-7.1664,282.66,93,75,7.72,light rain
217,Padang,ID,2022-10-01 17:54:07,-0.9492,100.3543,296.18,91,100,0.87,light rain
218,Urengoy,RU,2022-10-01 17:54:08,65.9667,78.3667,271.25,68,74,4.23,broken clouds
219,Umm Lajj,SA,2022-10-01 17:54:08,25.0213,37.2685,304.26,53,0,5.31,clear sky
220,San Felipe,VE,2022-10-01 17:54:09,10.3399,-68.7425,306.27,40,71,4.22,broken clouds
221,Sao Miguel Do Araguaia,BR,2022-10-01 17:54:09,-13.275,-50.1628,312.88,15,3,3.26,clear sky
222,Caravelas,BR,2022-10-01 17:54:10,-17.7125,-39.2481,297.28,65,91,3.67,overcast clouds
223,Semnan,IR,2022-10-01 17:54:11,35.5729,53.3971,294.93,50,36,2.66,scattered clouds
224,Tisul,RU,2022-10-01 17:54:11,55.7611,88.3122,270.93,95,86,2.47,overcast clouds
225,Roald,NO,2022-10-01 17:54:12,62.5833,6.1333,286.99,87,40,0.0,scattered clouds
226,Calabozo,VE,2022-10-01 17:54:12,8.9242,-67.4293,305.15,54,26,1.97,scattered clouds
227,San Carlos De Bariloche,AR,2022-10-01 17:54:13,-41.1456,-71.3082,291.62,36,0,1.54,clear sky
228,Kesan,TR,2022-10-01 17:54:14,40.8558,26.6303,295.23,50,17,2.05,few clouds
229,Kattivakkam,IN,2022-10-01 17:55:14,13.2167,80.3167,304.2,68,100,4.89,overcast clouds
230,Maldonado,UY,2022-10-01 17:55:15,-34.6667,-54.9167,291.81,56,24,4.06,few clouds
231,Bonavista,CA,2022-10-01 17:55:15,48.6499,-53.1147,289.51,62,10,5.05,clear sky
232,Anderson,US,2022-10-01 17:52:55,34.5334,-82.6499,296.61,57,0,1.54,clear sky
233,Saint Albans,GB,2022-10-01 17:51:25,51.75,-0.3333,290.55,70,54,6.17,broken clouds
234,Carbondale,US,2022-10-01 17:55:16,37.7273,-89.2168,295.4,37,0,4.12,clear sky
